Italiano,Portugues
qualcosa,algo
vero,Verdadeiro
casa,lar
sia,é
su,sobre
sempre,Sempre
forse,Talvez
dire,dizer
vi,você
loro,Eles
i',o'
altro,outro
sai,você sabe
stai,você é
vita,vida
quel,que
delle,de
tempo,tempo
andare,ir
certo,Certo
poi,Então
nella,no
uomo,homem
signore,Cavalheiro
ad,para
po',pedaço'
può,pode
credo,Eu acredito
voi,você
già,Já
adesso,Agora
andiamo,vamos
anni,anos
all',no
visto,visualizar
fuori,fora
proprio,ter
parte,papel
davvero,Realmente
vuole,quer
li,lá
dell',de
sto,esse
quanto,Quanto
volta,tempo
sul,no
é,E
dio,Deus
sarà,vai ser
dopo,Depois
senza,sem
cose,coisas
nessuno,Ninguém
fai,Você faz
giorno,dia
ed,e
meglio,Melhorar
padre,pai
puoi,você pode
ciao,OI
cos',então
devi,você tem que
ecco,Olha Você aqui
qualcuno,alguém
dal,de
lavoro,Trabalhar
sa,saber
ai,para o
vedere,ver
ogni,Tudo está bem
ii,Ii
troppo,também
posto,lugar
cui,qual
tanto,muito
male,ruim
dai,vamos
ce,há
bisogno,precisar
signor,Senhor
beh,Bem
perchè,Por que
vieni,Você vem
alle,para
dalla,de
stata,era
tra,Entre
vai,Ir
ehi,Ei
miei,meu
amico,Amigo
dice,Ele diz
sarebbe,seria
avete,você tem
altra,outro
deve,precisa de
